Phrase,Total Frequency,,,,,,,
,,,,,,,,
"Fenster
",2322,Öffnung / Schließung,19317,,,,,
"Wagen
",1404,Reise,11471,,,,,
"Freiheit
",799,Freiheit,2158,,,,,
"Krieg
",603,Krieg,1749,,,,,
"Besuch
",560,Begegnung,1157,,,,,
"Flucht
",427,Flucht /Zuflucht,652,,,404,Erscheinung,409
"Spaziergang
",151,Natur / Landleben / Jagd,535,,,,,
"Spiegel
",453,Spiegel,491,,,,,
"Einsamkeit
",342,Einsamkeit,424,,,,,
"Ordnung
",236,Ordnung,384,,,,,
"Sarg
",156,Bestattung,264,,,,,
"Abenteuer
",149,Abenteuer,162,,,,,
"Auftritt
",129,Aufführung,161,,,,,
"Leere
",160,Weite / Leere / Suche,267,,,,,
"Dasein
",53,Dasein,90,,,,,
"Kirchgang
",13,Kirche / Spiritualität,79,,,,,
"Unfall
",36,Krankenhaus / Unfall,53,,,,,
"Festgewand
",4,Fest,19,,,,,
"Erdbeben
",11,Naturkatastrophe,13,,,,,
"Schlafzimmertür
",6,Privatraum,11,,,,,
"Herkunft
",11,Herkunft,11,,,,,
"Fahrradunfall
",1,Unfall,,,,,,
"Spiegeln
",8,Spiegel,,,,,,
"Rückspiegel
",4,Spiegel,,,,,,
"Spiegelwand
",3,Spiegel,,,,,,
"Spiegelwände
",2,Spiegel,,,,,,
"Spiegeltische
",2,Spiegel,,,,,,
"Spiegelgarn
",1,Spiegel,,,,,,
"Spiegeltürchen
",1,Spiegel,,,,,,
"Spiegellabyrinth
",1,Spiegel,,,,,,
"Spiegelung
",1,Spiegel,,,,,,
"Spiegelscheiben
",1,Spiegel,,,,,,
"Spiegelrahmen
",1,Spiegel,,,,,,
"Spiegelfenster
",1,Spiegel,,,,,,
"Spiegel offen
",1,Spiegel,,,,,,
"Spiegel-Taffeln
",1,Spiegel,,,,,,
"Spiegelscherbe
",1,Spiegel,,,,,,
"Spiegelbild
",1,Spiegel,,,,,,
"Umwandel-Spiegel
",1,Spiegel,,,,,,
"Spiegelbildes
",1,Spiegel,,,,,,
"Spiegelscheibe
",1,Spiegel,,,,,,
"Fensterspiegel
",1,Spiegel,,,,,,
"Spiegelglas
",1,Spiegel,,,,,,
"Spiegeltür
",1,Spiegel,,,,,,
"Türspiegel
",1,Spiegel,,,,,,
"Spiegel-Kanonen
",1,Spiegel,,,,,,
"Reise
",1212,Reise,,,,,,
"Abschied
",790,Reise,,,,,,
"Schiff
",759,Reise,,,,,,
"Schiffe
",453,Reise,,,,,,
"Ankunft
",434,Reise,,,,,,
"Abreise
",407,Reise,,,,,,
"reisen
",347,Reise,,,,,,
"unterwegs
",340,Reise,,,,,,
"Aufenthalt
",301,Reise,,,,,,
"Boot
",279,Reise,,,,,,
"Fahrt
",276,Reise,,,,,,
"Reisen
",270,Reise,,,,,,
"Zug
",244,Reise,,,,,,
"Auto
",233,Reise,,,,,,
"Entdeckung
",222,Reise,,,,,,
"Pferde
",158,Reise,,,,,,
"Urlaub
",123,Reise,,,,,,
"reiste
",100,Reise,,,,,,
"Fahrzeug
",99,Reise,,,,,,
"Abwesenheit
",98,Reise,,,,,,
"Wagens
",97,Reise,,,,,,
"Schiffen
",96,Reise,,,,,,
"Autos
",92,Reise,,,,,,
"Boote
",89,Reise,,,,,,
"Kahn
",88,Reise,,,,,,
"Rückweg
",87,Reise,,,,,,
"Karren
",82,Reise,,,,,,
"Pferd
",79,Reise,,,,,,
"Abfahrt
",74,Reise,,,,,,
"Kutsche
",71,Reise,,,,,,
"Aufenthalts
",70,Reise,,,,,,
"Dampfer
",67,Reise,,,,,,
"Bus
",61,Reise,,,,,,
"reise
",54,Reise,,,,,,
"Rückkehr
",52,Reise,,,,,,
"Abschiede
",50,Reise,,,,,,
"Reisern
",48,Reise,,,,,,
"Wanderung
",46,Reise,,,,,,
"Rückreise
",46,Reise,,,,,,
"Bahn
",40,Reise,,,,,,
"Umweg
",40,Reise,,,,,,
"Zurückkunft
",40,Reise,,,,,,
"Ausflug
",38,Reise,,,,,,
"Fuhrwerk
",37,Reise,,,,,,
"Aufbruch
",37,Reise,,,,,,
"Aufenthalte
",35,Reise,,,,,,
"Autobahn
",34,Reise,,,,,,
"Transport
",29,Reise,,,,,,
"Flugzeug
",28,Reise,,,,,,
"Galopp
",27,Reise,,,,,,
"Reisewagen
",26,Reise,,,,,,
"Dampfschiff
",25,Reise,,,,,,
"Fahrzeuge
",25,Reise,,,,,,
"Rückfahrt
",25,Reise,,,,,,
"Fahrrad
",24,Reise,,,,,,
"Wanderschaft
",23,Reise,,,,,,
"Verkehr
",22,Reise,,,,,,
"Rückkunft
",21,Reise,,,,,,
"Busse
",21,Reise,,,,,,
"reiset
",19,Reise,,,,,,
"Abschieds
",18,Reise,,,,,,
"Postwagen
",16,Reise,,,,,,
"Aufenthaltes
",16,Reise,,,,,,
"Heimweh
",16,Reise,,,,,,
"Reisegesellschaft
",15,Reise,,,,,,
"Unterwegs
",15,Reise,,,,,,
"Tour
",14,Reise,,,,,,
"Austritt
",11,Reise,,,,,,
"Hochzeitsreise
",11,Reise,,,,,,
"Aufstieg
",11,Reise,,,,,,
"Taxi
",10,Reise,,,,,,
"Wagenfenster
",10,Reise,,,,,,
"Flugzeuge
",9,Reise,,,,,,
"reist
",9,Reise,,,,,,
"Rück-Reise
",9,Reise,,,,,,
"Fahrzeugs
",9,Reise,,,,,,
"Ritt
",9,Reise,,,,,,
"Schlittenfahrt
",8,Reise,,,,,,
"Aufenthaltsort
",8,Reise,,,,,,
"Kutschen
",8,Reise,,,,,,
"Fuhrwerke
",8,Reise,,,,,,
"Seefahrt
",8,Reise,,,,,,
"Wallfahrt
",8,Reise,,,,,,
"Schiffswand
",7,Reise,,,,,,
"Segelboot
",7,Reise,,,,,,
"Heimfahrt
",7,Reise,,,,,,
"Flughafen
",7,Reise,,,,,,
"Wagenrad
",7,Reise,,,,,,
"Wiedersehens
",6,Reise,,,,,,
"Booten
",6,Reise,,,,,,
"Reisebeschreibung
",6,Reise,,,,,,
"Entdeckungsreise
",6,Reise,,,,,,
"Dampfboot
",6,Reise,,,,,,
"Bootsfahrt
",6,Reise,,,,,,
"Fahren
",6,Reise,,,,,,
"Zurückreise
",6,Reise,,,,,,
"Wagentransport
",6,Reise,,,,,,
"Autotür
",6,Reise,,,,,,
"Jeep
",6,Reise,,,,,,
"Heimreise
",6,Reise,,,,,,
"Vorderschiff
",5,Reise,,,,,,
"Autofahrt
",5,Reise,,,,,,
"Pferdebahnwagen
",5,Reise,,,,,,
"Equipage
",5,Reise,,,,,,
"reisten
",5,Reise,,,,,,
"Schifffahrt
",5,Reise,,,,,,
"Kreuzfahrt
",5,Reise,,,,,,
"Flugzeugs
",5,Reise,,,,,,
"Schiffahrt
",5,Reise,,,,,,
"Reisenden
",5,Reise,,,,,,
"Abspannung
",4,Reise,,,,,,
"Kuchelwagen
",4,Reise,,,,,,
"Fluge
",4,Reise,,,,,,
"Mietwagen
",4,Reise,,,,,,
"abreiste
",4,Reise,,,,,,
"Fahrzeugen
",4,Reise,,,,,,
"Dampfschiffe
",4,Reise,,,,,,
"Hinreise
",4,Reise,,,,,,
"Route
",4,Reise,,,,,,
"Reisepass
",4,Reise,,,,,,
"Bahnfahrt
",4,Reise,,,,,,
"Fuhrwerks
",4,Reise,,,,,,
"Reisens
",4,Reise,,,,,,
"Schiffsreise
",4,Reise,,,,,,
"Abschiedes
",4,Reise,,,,,,
"Reisebeschreibungen
",4,Reise,,,,,,
"Lastwagen
",4,Reise,,,,,,
"abreisen
",4,Reise,,,,,,
"Wagenkolonne
",3,Reise,,,,,,
"Abschweifung
",3,Reise,,,,,,
"Schiffbruch
",3,Reise,,,,,,
"Rück-Weg
",3,Reise,,,,,,
"Reisegefährten
",3,Reise,,,,,,
"Kahnfahrt
",3,Reise,,,,,,
"Busses
",3,Reise,,,,,,
"Entdeckungsreisen
",3,Reise,,,,,,
"Flugreise
",3,Reise,,,,,,
"Anfahrt
",3,Reise,,,,,,
"Wagenschanze
",3,Reise,,,,,,
"Fahrweg
",3,Reise,,,,,,
"Kutschenfenster
",3,Reise,,,,,,
"Entdeckungen
",3,Reise,,,,,,
"Bleibens
",3,Reise,,,,,,
"Ausreise
",3,Reise,,,,,,
"Wiederkehr
",3,Reise,,,,,,
"Flugs
",3,Reise,,,,,,
"Fluggesellschaft
",3,Reise,,,,,,
"Reisekutsche
",3,Reise,,,,,,
"Flug
",3,Reise,,,,,,
"Flugbahn
",3,Reise,,,,,,
"Wagenecke
",3,Reise,,,,,,
"Reisegruppe
",3,Reise,,,,,,
"Tagreise
",3,Reise,,,,,,
"Admiralschiff
",3,Reise,,,,,,
"reisete
",3,Reise,,,,,,
"Abschiednehmen
",3,Reise,,,,,,
"Rockenfahrt
",3,Reise,,,,,,
"Wagendecke
",2,Reise,,,,,,
"Schiebkarren
",2,Reise,,,,,,
"Rollwagen
",2,Reise,,,,,,
"Maultierwagen
",2,Reise,,,,,,
"Entdeckreise
",2,Reise,,,,,,
"Besichtigung
",2,Reise,,,,,,
"Brautfahrt
",2,Reise,,,,,,
"Rückwärtsgang
",2,Reise,,,,,,
"Autoverkehr
",2,Reise,,,,,,
"Rossen
",2,Reise,,,,,,
"verreiset
",2,Reise,,,,,,
"Admiralsschiff
",2,Reise,,,,,,
"Wagenspuren
",2,Reise,,,,,,
"Landung
",2,Reise,,,,,,
"Abschiedsworte
",2,Reise,,,,,,
"Schiff-Fahrt
",2,Reise,,,,,,
"Fruchtwagen
",2,Reise,,,,,,
"Durchreise
",2,Reise,,,,,,
"Tagereise
",2,Reise,,,,,,
"Wanderungen
",2,Reise,,,,,,
"Elektrokarren
",2,Reise,,,,,,
"Zurückkehr
",2,Reise,,,,,,
"reiseten
",2,Reise,,,,,,
"Visitiereisen
",2,Reise,,,,,,
"Autoscheinwerfer
",2,Reise,,,,,,
"Wagentritt
",2,Reise,,,,,,
"verreisen
",2,Reise,,,,,,
"reisest
",2,Reise,,,,,,
"Fluglinie
",2,Reise,,,,,,
"Wanderweg
",2,Reise,,,,,,
"Reisegenossen
",2,Reise,,,,,,
"Kur
",2,Reise,,,,,,
"Fiaker
",2,Reise,,,,,,
"Kammerwagen
",2,Reise,,,,,,
"Abschiedskuß
",2,Reise,,,,,,
"Karre
",2,Reise,,,,,,
"Wagendach
",2,Reise,,,,,,
"Weltreise
",2,Reise,,,,,,
"Eisenbahn
",2,Reise,,,,,,
"Reisegefährte
",2,Reise,,,,,,
"Staatschiff
",2,Reise,,,,,,
"Reise-Gesellschafft
",2,Reise,,,,,,
"Reiseerinnerungen
",2,Reise,,,,,,
"Reiseflor
",2,Reise,,,,,,
"verabschiedeten
",2,Reise,,,,,,
"Badereise
",2,Reise,,,,,,
"Auffenthalt
",2,Reise,,,,,,
"Rück-Fahrt
",2,Reise,,,,,,
"Alpenreise
",2,Reise,,,,,,
"Freihafen
",2,Reise,,,,,,
"Aufbruche
",2,Reise,,,,,,
"Ochsenwagen
",2,Reise,,,,,,
"Wanderwegs
",2,Reise,,,,,,
"Zugfahrt
",2,Reise,,,,,,
"Pfingst-Reise
",2,Reise,,,,,,
"Wiederkunft
",2,Reise,,,,,,
"Transportschiff
",2,Reise,,,,,,
"Reiseberichte
",2,Reise,,,,,,
"Kutschenschlage
",2,Reise,,,,,,
"Feuerwagen
",2,Reise,,,,,,
"Segelschiff
",2,Reise,,,,,,
"Unterkunft
",2,Reise,,,,,,
"Wasserfahrt
",2,Reise,,,,,,
"Reisekleidung
",1,Reise,,,,,,
"Reisekoffer
",1,Reise,,,,,,
"Abschiedsbesuch
",1,Reise,,,,,,
"Kaiserischen Wagen
",1,Reise,,,,,,
"Trennungsweh
",1,Reise,,,,,,
"Wagenketten
",1,Reise,,,,,,
"Urlaubsreise
",1,Reise,,,,,,
"Tagesreise
",1,Reise,,,,,,
"Thorwagen
",1,Reise,,,,,,
"wagen
",1,Reise,,,,,,
"Eintreffen
",1,Reise,,,,,,
"Zurückbleibens
",1,Reise,,,,,,
"Felsenburgische Boot
",1,Reise,,,,,,
"Wagenpartie
",1,Reise,,,,,,
"Kutschen-Rückfenster
",1,Reise,,,,,,
"Bootfahrt
",1,Reise,,,,,,
"Abwege
",1,Reise,,,,,,
"Fuhrwerck
",1,Reise,,,,,,
"Wagenrollen
",1,Reise,,,,,,
"Reisergasse
",1,Reise,,,,,,
"Herfahrt
",1,Reise,,,,,,
"Reiseeindrücke
",1,Reise,,,,,,
"Wanderfahrt
",1,Reise,,,,,,
"Entdeckungsfahrt
",1,Reise,,,,,,
"Wandertagen
",1,Reise,,,,,,
"Golf
",1,Reise,,,,,,
"Geländewagen
",1,Reise,,,,,,
"Wagenräder
",1,Reise,,,,,,
"Wiedereinschiffen
",1,Reise,,,,,,
"Kreuzfahrtschiff
",1,Reise,,,,,,
"Einschiffen
",1,Reise,,,,,,
"Reisepfade
",1,Reise,,,,,,
"Kutschwagen
",1,Reise,,,,,,
"Segelfahrt
",1,Reise,,,,,,
"Schiffbruche
",1,Reise,,,,,,
"Rückkehr Besuch
",1,Reise,,,,,,
"Wagenabteile
",1,Reise,,,,,,
"Schiffbrücke
",1,Reise,,,,,,
"herumgereist
",1,Reise,,,,,,
"Badreise
",1,Reise,,,,,,
"Trampschiff
",1,Reise,,,,,,
"Reiseequipage
",1,Reise,,,,,,
"Reiseziel
",1,Reise,,,,,,
"Einschiffung
",1,Reise,,,,,,
"Campingwagen
",1,Reise,,,,,,
"Kutschenfahrt
",1,Reise,,,,,,
"Reiset
",1,Reise,,,,,,
"Transitreisende
",1,Reise,,,,,,
"Abschiedsgruße
",1,Reise,,,,,,
"Kutschersitz
",1,Reise,,,,,,
"Reiseschaise
",1,Reise,,,,,,
"Reisebekanntschaft
",1,Reise,,,,,,
"Umwegs
",1,Reise,,,,,,
"Schlafwagen
",1,Reise,,,,,,
"verreist
",1,Reise,,,,,,
"Bauernwagen
",1,Reise,,,,,,
"Flugzeugrumpfs
",1,Reise,,,,,,
"Rükkunft
",1,Reise,,,,,,
"Neben-Schiff
",1,Reise,,,,,,
"Reiseanzuges
",1,Reise,,,,,,
"Spazierwagen
",1,Reise,,,,,,
"Post-Wagen
",1,Reise,,,,,,
"Transportschiffe
",1,Reise,,,,,,
"Wagenlaterne
",1,Reise,,,,,,
"Reisebesuch
",1,Reise,,,,,,
"Kübelwagen
",1,Reise,,,,,,
"Spazierreise
",1,Reise,,,,,,
"Dampfschiffahrt
",1,Reise,,,,,,
"Flatboot
",1,Reise,,,,,,
"abreist
",1,Reise,,,,,,
"Kaufschiff
",1,Reise,,,,,,
"Ausritt
",1,Reise,,,,,,
"Flugzeugabsturz
",1,Reise,,,,,,
"Reiselebens
",1,Reise,,,,,,
"Fahrsteg
",1,Reise,,,,,,
"Gebirgsreise
",1,Reise,,,,,,
"Abschieds-Scene
",1,Reise,,,,,,
"Wagen-Gerolle
",1,Reise,,,,,,
"Reiseplänen
",1,Reise,,,,,,
"Seereise
",1,Reise,,,,,,
"Fährschiff
",1,Reise,,,,,,
"Wagengerolle
",1,Reise,,,,,,
"Abschiedbesuchen
",1,Reise,,,,,,
"Wandelhalle
",1,Reise,,,,,,
"Tor spazieren
",1,Reise,,,,,,
"Schlitten-Lustfahrt
",1,Reise,,,,,,
"Postkutsche
",1,Reise,,,,,,
"Rükreise
",1,Reise,,,,,,
"Entdeckreisen
",1,Reise,,,,,,
"Karossen
",1,Reise,,,,,,
"Ballonfahrt
",1,Reise,,,,,,
"Avisoschiffe
",1,Reise,,,,,,
"Bug
",1,Reise,,,,,,
"Abschiedswort
",1,Reise,,,,,,
"Reiseberichten
",1,Reise,,,,,,
"Horrorfahrt
",1,Reise,,,,,,
"Ewer
",1,Reise,,,,,,
"Entführungsreise
",1,Reise,,,,,,
"Maultierkarren
",1,Reise,,,,,,
"Abschiednehmens
",1,Reise,,,,,,
"Fernreisen
",1,Reise,,,,,,
"Lebensreise
",1,Reise,,,,,,
"Schiffswerfte
",1,Reise,,,,,,
"Aufenthaltsorte
",1,Reise,,,,,,
"Reisers
",1,Reise,,,,,,
"Reise-Schiff
",1,Reise,,,,,,
"Autobahnausfahrt
",1,Reise,,,,,,
"Besucherparkplatz
",1,Reise,,,,,,
"Abschiedstages
",1,Reise,,,,,,
"Flieg
",1,Reise,,,,,,
"Abzweigung
",1,Reise,,,,,,
"Postwagen abreisen
",1,Reise,,,,,,
"Wagendeichsel
",1,Reise,,,,,,
"Abschiedbesuch
",1,Reise,,,,,,
"Autoscheinwerfers
",1,Reise,,,,,,
"Abwesenheit Abschied
",1,Reise,,,,,,
"Reisebusse
",1,Reise,,,,,,
"Reisensburg
",1,Reise,,,,,,
"Zurükkunft
",1,Reise,,,,,,
"Schiffern
",1,Reise,,,,,,
"Auswanderern
",1,Reise,,,,,,
"Reisestunden
",1,Reise,,,,,,
"Urlaubsort
",1,Reise,,,,,,
"reisende
",1,Reise,,,,,,
"Elektrischen Bahn
",1,Reise,,,,,,
"Fahrzeuges frei
",1,Reise,,,,,,
"Ausfahren
",1,Reise,,,,,,
"Wageninneren
",1,Reise,,,,,,
"Bordwand
",1,Reise,,,,,,
"Reisekarren
",1,Reise,,,,,,
"Riesenumweg
",1,Reise,,,,,,
"Hinterschiff
",1,Reise,,,,,,
"Abschieds-Visiten
",1,Reise,,,,,,
"Reise-Coffre
",1,Reise,,,,,,
"Fahrzeuges
",1,Reise,,,,,,
"verreise
",1,Reise,,,,,,
"Touren
",1,Reise,,,,,,
"Ochseewagen
",1,Reise,,,,,,
"Reisepläne
",1,Reise,,,,,,
"Reissen
",1,Reise,,,,,,
"Reisetasche
",1,Reise,,,,,,
"Taxi unterwegs
",1,Reise,,,,,,
"Reiserichtung
",1,Reise,,,,,,
"Garbenwagen
",1,Reise,,,,,,
"Fahrradfernweg
",1,Reise,,,,,,
"abreise
",1,Reise,,,,,,
"Abschiedsgrüße
",1,Reise,,,,,,
"Vergnügungsreise
",1,Reise,,,,,,
"Elektrische
",1,Reise,,,,,,
"Paßport
",1,Reise,,,,,,
"Aufenthaltserlaubnis
",1,Reise,,,,,,
"Reisekasse
",1,Reise,,,,,,
"Dammtor
",1,Reise,,,,,,
"Reisekarte
",1,Reise,,,,,,
"Weltfahrt
",1,Reise,,,,,,
"Fuhrmannswagen
",1,Reise,,,,,,
"Südseetür
",1,Reise,,,,,,
"Reiseeffekten
",1,Reise,,,,,,
"Vorschiff
",1,Reise,,,,,,
"Post-Schiff
",1,Reise,,,,,,
"Thalfahrt
",1,Reise,,,,,,
"Kutsche öfnen
",1,Reise,,,,,,
"Abweg
",1,Reise,,,,,,
"Reise Rückfracht
",1,Reise,,,,,,
"Reiseanschluß
",1,Reise,,,,,,
"reisetest
",1,Reise,,,,,,
"Viehwagen
",1,Reise,,,,,,
"Reise-Gefährten
",1,Reise,,,,,,
"Dampfwagen
",1,Reise,,,,,,
"Flughafens
",1,Reise,,,,,,
"Abteiltür
",1,Reise,,,,,,
"Abschiedsszene
",1,Reise,,,,,,
"Irrfahrt
",1,Reise,,,,,,
"Überfahrt
",1,Reise,,,,,,
"Staatscarossen
",1,Reise,,,,,,
"Bahnzug
",1,Reise,,,,,,
"Reisegeld
",1,Reise,,,,,,
"Heimkunft
",1,Reise,,,,,,
"Auslandreise
",1,Reise,,,,,,
"Schiffslebens
",1,Reise,,,,,,
"Courierfahrt
",1,Reise,,,,,,
"Hochzeitswagen
",1,Reise,,,,,,
"Rükweg
",1,Reise,,,,,,
"Kauffarthey-Schiffe
",1,Reise,,,,,,
"Miethswagen
",1,Reise,,,,,,
"Schiffe Botschaft
",1,Reise,,,,,,
"Fahr-Zeug
",1,Reise,,,,,,
"Heim-Reise
",1,Reise,,,,,,
"Wagenremisen
",1,Reise,,,,,,
"Bootfahren
",1,Reise,,,,,,
"Bahnsteigs
",1,Reise,,,,,,
"Fahrbahn
",1,Reise,,,,,,
"Wander-Stab
",1,Reise,,,,,,
"Flatbootfahrt
",1,Reise,,,,,,
"Reise unterwegs
",1,Reise,,,,,,
"Wageninnern
",1,Reise,,,,,,
"Abschieden
",1,Reise,,,,,,
"Zurückkunfft
",1,Reise,,,,,,
"Fischdampfer
",1,Reise,,,,,,
"Fußreise
",1,Reise,,,,,,
"Dampfers
",1,Reise,,,,,,
"Autobahnauffahrt
",1,Reise,,,,,,
"Kutsch-Kissen
",1,Reise,,,,,,
"Reisegeldes
",1,Reise,,,,,,
"Landreise
",1,Reise,,,,,,
"Reiseroute
",1,Reise,,,,,,
"Reiseanzug
",1,Reise,,,,,,
"Entdekkung
",1,Reise,,,,,,
"Eingeschirren
",1,Reise,,,,,,
"Tagfahrt
",1,Reise,,,,,,
"Segelschiffe
",1,Reise,,,,,,
"Reisegepäck
",1,Reise,,,,,,
"Reisezug
",1,Reise,,,,,,
"freien Verkehr
",1,Reise,,,,,,
"Kutter
",1,Reise,,,,,,
"Wüstenreise
",1,Reise,,,,,,
"Anschlußflug
",1,Reise,,,,,,
"Abwegs
",1,Reise,,,,,,
"Autos unterwegs
",1,Reise,,,,,,
"Wagenfahrten
",1,Reise,,,,,,
"Abteil
",1,Reise,,,,,,
"Spatzierfahrt
",1,Reise,,,,,,
"Abschiedsmoments
",1,Reise,,,,,,
"Kronwagen
",1,Reise,,,,,,
"Seegang
",1,Reise,,,,,,
"Türen reisen
",1,Reise,,,,,,
"Reiser
",1,Reise,,,,,,
"Fahrradweg
",1,Reise,,,,,,
"offenen Wagens
",1,Reise,,,,,,
"Studienreise
",1,Reise,,,,,,
"Reisegeschirr
",1,Reise,,,,,,
"Auto unterwegs
",1,Reise,,,,,,
"Zurück-Reise
",1,Reise,,,,,,
"Dahin-Reise
",1,Reise,,,,,,
"Wagensitze
",1,Reise,,,,,,
"Wagenremise
",1,Reise,,,,,,
"Fahr-Zeug unterwegs
",1,Reise,,,,,,
"Reise-Secretarii
",1,Reise,,,,,,
"Wagenzuge
",1,Reise,,,,,,
"Wagenabteil
",1,Reise,,,,,,
"Flughafenanschluß
",1,Reise,,,,,,
"Reisegefährtinnen
",1,Reise,,,,,,
"Anschlussflug
",1,Reise,,,,,,
"Ausflugsort
",1,Reise,,,,,,
"Auftrag reise
",1,Reise,,,,,,
"Reisekleidern
",1,Reise,,,,,,
"Pferdewagen
",1,Reise,,,,,,
"Ewern
",1,Reise,,,,,,
"bereist
",1,Reise,,,,,,
"Aufwärtsfahrt
",1,Reise,,,,,,
"Taxis
",1,Reise,,,,,,
"Kuttergäste
",1,Reise,,,,,,
"Jagd reisen
",1,Reise,,,,,,
"Flughafenerweiterung
",1,Reise,,,,,,
"Wagen Schiffe
",1,Reise,,,,,,
"Reisewagen spazieren
",1,Reise,,,,,,
"abgereiset
",1,Reise,,,,,,
"Ferien-Reise
",1,Reise,,,,,,
"Wandertag
",1,Reise,,,,,,
"Wohnzimmertür
",2,Privatraum,,,,,,
"Badezimmertür
",2,Privatraum,,,,,,
"Schlafkammerthür
",1,Privatraum,,,,,,
"Unordnung
",118,Ordnung,,,,,,
"Wirrwarr
",9,Ordnung,,,,,,
"Unordnungen
",6,Ordnung,,,,,,
"Hausordnung
",5,Ordnung,,,,,,
"ordnete
",2,Ordnung,,,,,,
"geordnet
",2,Ordnung,,,,,,
"Einordnung
",2,Ordnung,,,,,,
"Aufräumen
",1,Ordnung,,,,,,
"Weltordnung
",1,Ordnung,,,,,,
"Post-Ordnung
",1,Ordnung,,,,,,
"Wagengewirre
",1,Ordnung,,,,,,
"Tür
",1886,Öffnung / Schließung,,,,,,
"Thür
",920,Öffnung / Schließung,,,,,,
"öffnete
",877,Öffnung / Schließung,,,,,,
"Wand
",827,Öffnung / Schließung,,,,,,
"Treppe
",765,Öffnung / Schließung,,,,,,
"offen
",671,Öffnung / Schließung,,,,,,
"Mauer
",486,Öffnung / Schließung,,,,,,
"Thüre
",423,Öffnung / Schließung,,,,,,
"Mauern
",390,Öffnung / Schließung,,,,,,
"Eingang
",386,Öffnung / Schließung,,,,,,
"Trennung
",324,Öffnung / Schließung,,,,,,
"öffnen
",291,Öffnung / Schließung,,,,,,
"geöffnet
",288,Öffnung / Schließung,,,,,,
"geschlossen
",287,Öffnung / Schließung,,,,,,
"Fenstern
",280,Öffnung / Schließung,,,,,,
"Türe
",256,Öffnung / Schließung,,,,,,
"Verbindung
",250,Öffnung / Schließung,,,,,,
"offenen
",246,Öffnung / Schließung,,,,,,
"Wände
",237,Öffnung / Schließung,,,,,,
"Wänden
",213,Öffnung / Schließung,,,,,,
"Türen
",212,Öffnung / Schließung,,,,,,
"Stufen
",209,Öffnung / Schließung,,,,,,
"Tor
",200,Öffnung / Schließung,,,,,,
"Haustür
",186,Öffnung / Schließung,,,,,,
"öffnet
",179,Öffnung / Schließung,,,,,,
"Grenze
",175,Öffnung / Schließung,,,,,,
"Treppen
",155,Öffnung / Schließung,,,,,,
"Vorhang
",152,Öffnung / Schließung,,,,,,
"Eintritt
",144,Öffnung / Schließung,,,,,,
"schloß
",137,Öffnung / Schließung,,,,,,
"Tore
",122,Öffnung / Schließung,,,,,,
"Festung
",116,Öffnung / Schließung,,,,,,
"Ausgang
",116,Öffnung / Schließung,,,,,,
